+-------+-----+------+-----+-----+-----+--------+-----------------------------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-------------+-------------+--------------+-------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                                              URI                                              |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV |  MIN(BODY)  |  MAX(BODY)  |  SUM(BODY)   |  AVG(BODY)  |
| 99    | 0   | 99   | 0   | 0   | 0   | GET    | /api/courses/01HFNB5H3R252WW02NFBS3CF2G/classes                                               | 0.004 | 4.180 | 29.348   | 0.296 | 0.796 | 1.304 | 4.180 | 0.582  | 314.000     | 966.000     | 57802.000    | 583.859     |
| 249   | 0   | 249  | 0   | 0   | 0   | GET    | /api/courses/01HFNB3FGVBM2433GZVQWYR93Z/classes                                               | 0.004 | 2.560 | 28.971   | 0.116 | 0.276 | 0.396 | 0.792 | 0.203  | 212.000     | 1549.000    | 212070.000   | 851.687     |
| 249   | 0   | 249  | 0   | 0   | 0   | GET    | /api/courses/01HFNB3FR19K7P91CXBPQF030J/classes                                               | 0.008 | 1.776 | 28.159   | 0.113 | 0.292 | 0.444 | 0.852 | 0.183  | 275.000     | 1371.000    | 196629.000   | 789.675     |
| 248   | 0   | 248  | 0   | 0   | 0   | GET    | /api/courses/01HFNB4MCZH467TTPQZSF76PT4/classes                                               | 0.004 | 1.716 | 27.644   | 0.111 | 0.272 | 0.420 | 1.176 | 0.199  | 218.000     | 1420.000    | 193252.000   | 779.242     |
| 247   | 0   | 247  | 0   | 0   | 0   | GET    | /api/courses/01HFNB4M9P64ZY62G0P1YVV6J0/classes                                               | 0.004 | 1.620 | 27.328   | 0.111 | 0.308 | 0.412 | 0.796 | 0.180  | 212.000     | 1337.000    | 191621.000   | 775.794     |
| 118   | 0   | 118  | 0   | 0   | 0   | GET    | /api/courses/01HFNB5H45BY5MA6Z6XJSET2P5/classes                                               | 0.008 | 3.120 | 26.672   | 0.226 | 0.512 | 0.988 | 1.624 | 0.405  | 336.000     | 913.000     | 73902.000    | 626.288     |
| 112   | 0   | 112  | 0   | 0   | 0   | GET    | /api/courses/01HFNB4N6XSSSAHWDNERY2RVE9/classes                                               | 0.004 | 3.792 | 26.648   | 0.238 | 0.528 | 0.916 | 1.800 | 0.455  | 249.000     | 1052.000    | 64806.000    | 578.625     |
| 133   | 0   | 133  | 0   | 0   | 0   | GET    | /api/courses/01HFNB5H5YQ8G0G07DVC808G0Q/classes                                               | 0.004 | 2.016 | 25.936   | 0.195 | 0.524 | 0.664 | 1.344 | 0.272  | 396.000     | 1289.000    | 96083.000    | 722.429     |
| 103   | 0   | 103  | 0   | 0   | 0   | GET    | /api/courses/01HFNB4N7RYNCTSYETR2E3S2X8/classes                                               | 0.004 | 1.868 | 25.856   | 0.251 | 0.692 | 0.988 | 1.484 | 0.352  | 258.000     | 1054.000    | 67127.000    | 651.718     |
| 89    | 0   | 89   | 0   | 0   | 0   | GET    | /api/courses/01HFNB4N82VDH51KQJSR415B60/classes                                               | 0.004 | 2.584 | 24.224   | 0.272 | 0.732 | 1.144 | 2.584 | 0.460  | 421.000     | 1039.000    | 63868.000    | 717.618     |
