+-------+-----+------+-----+-----+-----+--------+-----------------------------------------------------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+--------------+-------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                                              URI                                              |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV |  MIN(BODY)  |  MAX(BODY)  |  SUM(BODY)   |  AVG(BODY)  |
| 49    | 0   | 49   | 0   | 0   | 0   | POST   | /api/courses/01HFN5NBZ88818YN6RAZ9SMW3D/classes/01HFN5NK354BE0AS0G06G5W3MQ/assignments        | 0.020 | 1.872 | 15.832  | 0.323 | 0.780 | 1.028 | 1.872 | 0.389  | 0.000       | 0.000       | 0.000        | 0.000       |
| 45    | 0   | 45   | 0   | 0   | 0   | GET    | /api/courses/01HFN5NDFY8WVDKQ55GNR67EH8/classes                                               | 0.008 | 3.132 | 15.828  | 0.352 | 0.932 | 1.240 | 3.132 | 0.545  | 289.000     | 567.000     | 18826.000    | 418.356     |
| 46    | 0   | 46   | 0   | 0   | 0   | GET    | /api/announcements/01HFN5PG5ZQTSJ45K43A5SDBY8                                                 | 0.016 | 3.304 | 15.728  | 0.342 | 0.816 | 1.324 | 3.304 | 0.609  | 586.000     | 586.000     | 26956.000    | 586.000     |
| 50    | 0   | 50   | 0   | 0   | 0   | POST   | /api/courses/01HFN5NBY13E4V5R7ANPC3ZAEM/classes/01HFN5ND4M2304GM2CWKZB6Q9J/assignments        | 0.016 | 2.328 | 15.608  | 0.312 | 0.700 | 1.340 | 2.328 | 0.456  | 0.000       | 0.000       | 0.000        | 0.000       |
| 50    | 0   | 50   | 0   | 0   | 0   | POST   | /api/courses/01HFN5NBX9C5Q6AJX4MBA812QC/classes/01HFN5NDB0ZW61HN70DYWTSEVS/assignments        | 0.012 | 3.256 | 15.572  | 0.311 | 0.516 | 2.000 | 3.256 | 0.685  | 0.000       | 0.000       | 0.000        | 0.000       |
| 49    | 0   | 49   | 0   | 0   | 0   | POST   | /api/courses/01HFN5NBXBMP1361TVG9ABX56M/classes/01HFN5NSS3QQ0N1PJ2QGRXZV00/assignments        | 0.016 | 2.324 | 15.504  | 0.316 | 1.232 | 1.712 | 2.324 | 0.509  | 0.000       | 0.000       | 0.000        | 0.000       |
| 52    | 0   | 52   | 0   | 0   | 0   | GET    | /api/announcements/01HFN5P77PFXSXZQ7EC03SSFST                                                 | 0.012 | 2.068 | 15.432  | 0.297 | 0.584 | 1.460 | 2.068 | 0.429  | 449.000     | 450.000     | 23350.000    | 449.038     |
| 41    | 0   | 41   | 0   | 0   | 0   | GET    | /api/announcements/01HFN5PPWQ1TMK6R13PQY2CF0F                                                 | 0.016 | 3.212 | 15.412  | 0.376 | 1.028 | 1.200 | 3.212 | 0.624  | 482.000     | 482.000     | 19762.000    | 482.000     |
| 28    | 0   | 28   | 0   | 0   | 0   | POST   | /api/courses/01HFN5ND0T5X6RA1BEWXYFGR8C/classes/01HFN5PZF36TKXN2601EM2PVBG/assignments        | 0.016 | 2.920 | 15.388  | 0.550 | 2.224 | 2.464 | 2.920 | 0.761  | 0.000       | 0.000       | 0.000        | 0.000       |
| 54    | 0   | 54   | 0   | 0   | 0   | GET    | /api/announcements/01HFN5NKAA4EHVE45V0F5S4QQK                                                 | 0.008 | 2.196 | 15.324  | 0.284 | 0.536 | 1.760 | 2.196 | 0.460  | 440.000     | 441.000     | 23764.000    | 440.074     |
